"","x"
"1",1001
"2",1002
"3",1003
"4",1004
"5",1005
"6",1007
"7",1010
"8",1011
"9",1013
"10",1015
"11",1016
"12",1017
"13",1019
"14",1020
"15",1021
"16",1023
"17",1024
"18",1031
"19",1033
"20",1036
"21",1037
"22",1038
"23",1039
"24",1042
"25",1044
"26",1045
"27",1046
"28",1047
"29",1049
"30",1050
"31",1052
"32",1053
"33",1054
"34",1057
"35",1058
"36",1061
"37",1062
"38",1063
"39",1065
"40",1066
"41",1068
"42",1069
"43",1070
"44",1071
"45",1072
"46",1074
"47",1076
"48",1077
"49",1079
"50",1080
"51",1082
"52",1083
"53",1085
"54",1087
"55",1088
"56",1089
"57",1090
"58",1093
"59",1094
"60",1097
"61",1098
"62",1100
"63",1102
"64",1103
"65",1104
"66",1106
"67",1107
"68",1108
"69",1109
"70",1111
"71",1112
"72",1113
"73",1115
"74",1116
"75",1117
"76",1118
"77",1119
"78",1121
"79",1122
"80",1124
"81",1125
"82",1126
"83",1128
"84",1129
"85",1131
"86",1132
"87",1133
"88",1134
"89",1135
"90",1136
"91",1138
"92",1140
"93",1141
"94",1142
"95",1143
"96",1144
"97",1146
"98",1148
"99",1150
"100",1152
"101",1154
"102",1155
"103",1156
"104",1157
"105",1158
"106",1161
"107",1162
"108",1164
"109",1165
"110",1167
"111",1169
"112",1170
"113",1171
"114",1172
"115",1174
"116",1175
"117",1176
"118",1177
"119",1178
"120",1179
"121",1182
"122",1183
"123",1186
"124",1188
"125",1189
"126",1192
"127",1198
"128",1199
"129",1201
"130",1202
"131",1204
"132",1207
"133",1208
"134",1209
"135",1210
"136",1211
"137",1214
"138",1215
"139",1216
"140",1217
"141",1218
"142",1219
"143",1220
"144",1223
"145",1226
"146",1229
"147",1231
"148",1232
"149",1234
"150",1235
"151",1237
"152",1238
"153",1239
"154",1240
"155",1241
"156",1242
"157",1245
"158",1246
"159",1247
"160",1248
"161",1250
"162",1251
"163",1252
"164",1254
"165",1256
"166",1257
"167",1258
"168",1259
"169",1260
"170",1261
"171",1262
"172",1263
"173",1265
"174",1267
"175",1268
"176",1271
"177",1272
"178",1273
"179",1274
"180",1276
"181",1278
"182",1279
"183",1281
"184",1282
"185",1290
"186",1292
"187",1293
"188",1296
"189",1298
"190",1299
"191",1300
"192",1301
"193",1304
"194",1307
"195",1311
"196",1312
"197",1313
"198",1315
"199",1316
"200",1318
"201",1319
"202",1320
"203",1322
"204",1325
"205",1326
"206",1327
"207",1328
"208",1329
"209",1332
"210",1333
"211",1334
"212",1335
"213",1338
"214",1339
"215",1340
"216",1341
"217",1343
"218",1345
"219",1346
"220",1347
"221",1348
"222",1349
"223",1350
"224",1352
"225",1353
"226",1354
"227",1356
"228",1357
"229",1358
"230",1359
"231",1360
"232",1361
"233",1362
"234",1363
"235",1366
"236",1367
"237",1369
"238",1370
"239",1371
"240",1373
"241",1374
"242",1375
"243",1376
"244",1377
"245",1379
"246",1381
"247",1382
"248",1385
"249",1388
"250",1392
"251",1394
"252",1395
"253",1396
"254",1398
"255",1400
"256",1401
"257",1402
"258",1404
"259",1405
"260",1414
"261",1415
"262",1416
"263",1417
"264",1419
"265",1426
"266",1427
"267",1428
"268",1429
"269",1431
"270",1432
"271",1435
"272",1441
"273",1442
"274",1443
"275",1444
"276",1446
"277",1451
"278",1453
"279",1455
"280",1460
"281",1461
"282",1462
"283",1464
"284",1465
"285",1467
"286",1469
"287",1470
"288",1471
"289",1473
"290",1475
"291",1477
"292",1479
"293",1481
"294",1482
"295",1487
"296",1493
"297",1495
"298",1496
"299",1497
"300",1499
"301",1500
"302",1503
"303",1505
"304",1507
"305",1508
"306",1509
"307",1512
"308",1513
"309",1514
"310",1522
"311",1523
"312",1527
"313",1529
"314",1530
"315",1531
"316",1532
"317",1535
"318",1536
"319",1537
"320",1544
"321",1545
"322",1546
"323",1554
"324",2001
"325",2002
"326",2003
"327",2006
"328",2007
"329",2011
"330",2012
"331",2017
"332",2024
"333",2025
"334",2026
"335",2027
"336",2030
"337",2033
"338",2036
"339",2039
"340",2040
"341",2041
"342",2043
"343",2048
"344",2049
"345",2050
"346",2051
"347",2053
"348",2054
"349",2060
"350",2066
"351",2067
"352",2073
"353",2079
"354",2082
"355",2086
"356",2087
"357",2088
"358",2089
"359",2091
"360",2094
"361",2098
"362",2100
"363",2105
"364",2106
"365",2112
"366",2115
"367",2117
"368",2118
"369",2119
"370",2120
"371",2122
"372",2124
"373",2131
"374",2133
"375",2135
"376",2137
