structure,coef,pvals,p_fdr
8-Pul,-0.4271491172460426,2.5424592919253626e-24,3.417034378602574e-23
12-MD-Pf,-0.4247869260884623,3.1063948896387037e-24,3.417034378602574e-23
1-THALAMUS,-0.38783623474319734,6.511537161442591e-23,4.775127251724567e-22
11-CM,-0.3633591033584262,1.2073761388067804e-18,6.640568763437293e-18
9-LGN,-0.3598001889616307,7.601849132049562e-15,2.787344681751506e-14
10-MGN,-0.3286433423134434,4.99693039125173e-16,2.198649372150761e-15
28-Cla,-0.2953083162497633,8.555301003256188e-14,2.6888088867376593e-13
7-VPL,-0.24736153947258877,4.7274994187621945e-09,1.3000623401596034e-08
2-AV,-0.2284248797702433,1.1712260094816365e-07,2.342452018963273e-07
26-Acc,-0.2198007159467513,3.5024477283023426e-08,8.561538891405727e-08
31-Put,-0.21019748745049974,4.7058830445122944e-08,1.0352942697927048e-07
6-VLP,-0.20997493859405983,1.3682681752318936e-07,2.5084916545918047e-07
13-Hb,-0.20074152539444173,2.096470282707898e-05,3.2944533013981254e-05
32-RN,-0.19504583344337623,3.3238341580591846e-07,5.62495011363862e-07
29-GPe,-0.08903062181653151,0.024614669521241098,0.036101515297820276
33-GP,-0.0836838227435973,0.03263847104479232,0.04487789768658944
5-VLa,-0.07844468189294294,0.047356627156030194,0.058396050491662035
4-VA,-0.07534482926892262,0.047778586765905295,0.058396050491662035
34-Amy,-0.058963027632719434,0.20509999114695665,0.23236137790860223
30-GPi,-0.05188506869076233,0.21123761628054746,0.23236137790860223
27-Cau,-0.048768074654452216,0.22862356410834334,0.23951040049445493
14-MTT,0.026876335105091964,0.5295615035907795,0.5295615035907795
