1-THALAMUS, Thalamus (whole)
2-AV,Antero-Ventral Nucleus
4-VA,Ventral Anterior Nucleus
5-VLa,Ventral Lateral Nucleus (anterior)
6-VLP,Ventral Lateral Nucleus (posterior)
7-VPL,Ventral Posterior Lateral
8-Pul,Pulvinar
9-LGN,Lateral Geniculate Nucleus
10-MGN,Medial Geniculate Nucleus
11-CM,Centromedian Nucleus
12-MD-Pf,Mediodorsal Nucleus
13-Hb,Habanula
14-MTT,Mammillothalamic Tract
26-Acc,Nucleus Accumbens
27-Cau,Caudate
28-Cla,Claustrum
29-GPe,Globus Pallidus External
30-GPi,Globus Pallidus Internal
31-Put,Putamen
32-RN,Red Nucleus
33-GP,Globus Pallidus (GPe+GPi)
34-Amy,Amygdala
