,coef,stderr,llci,ulci,pvals,p_fdr
THALAMUS_1,-0.29487826661416133,0.04574541719153483,-0.38822031129113166,-0.201536221937191,1.2207381754910873e-09,1.4648858105893047e-08
Cla_28,-0.2150972421344618,0.049180575154421244,-0.31374228987068664,-0.11645219439823695,2.2353157559934833e-05,0.000134118945359609
Acc_26,-0.17785842430382665,0.04899922921683023,-0.2803408992238963,-0.07537594938375695,0.0007065837988303501,0.0028263351953214002
RN_32,-0.14870514429977919,0.05409000931491778,-0.25889865874226003,-0.03851162985729836,0.00828267010326102,0.019878408247826447
Hb_13,-0.13473312549729766,0.043543013015407736,-0.2197434689569422,-0.04972278203765311,0.001959033633340192,0.005877100900020577
Cau_27,-0.13337152893137,0.05459390353705746,-0.23468514821010733,-0.03205790965263268,0.009991938041242824,0.019983876082485648
Amy_34,-0.1119042065879965,0.0455683524185362,-0.20012212059893802,-0.02368629257705497,0.0130288892608905,0.02233523873295514
Put_31,-0.08423784585662256,0.059146567304476975,-0.19274434820477296,0.024268656491527846,0.12778558544778737,0.19167837817168104
GP_33,-0.07363365979357255,0.0500060672974728,-0.17746129195828667,0.030193972371141575,0.16408260925623466,0.19689913110748158
GPe_29,-0.07362492485607067,0.04818789089231813,-0.17602356883610584,0.02877371912396451,0.15833913837480068,0.19689913110748158
GPi_30,-0.05806568544690697,0.0516994157032772,-0.1581368120319214,0.04200544113810747,0.2547546294108759,0.27791414117550095
MTT_14,0.034367556185062216,0.05042570551753655,-0.0684408077630396,0.13717592013316401,0.5115398596929608,0.5115398596929608
