,coef,stderr,llci,ulci,pvals,p_fdr
LGN_9,-0.12134924935387882,0.054269287524962885,-0.24020873870451476,-0.0024897600032428857,0.04540986027677713,0.4540986027677713
AV_2,-0.10411277980634492,0.06750622119880595,-0.22777061568820228,0.019545056075512435,0.09869602367885656,0.4934801183942828
VPL_7,-0.083070170415864,0.07718359080892759,-0.2408380407718833,0.07469769994015533,0.3013265897402232,0.6026531794804464
VLP_6,-0.0658274580306296,0.09428566061461464,-0.24736336219793642,0.1157084461366772,0.47644042889090066,0.6806291841298581
Pul_8,-0.041363682294183766,0.12725428466827116,-0.284157840699799,0.20143047611143144,0.7379207416474344,0.819911935163816
VLa_5,-0.02693729565639039,0.0625418091746575,-0.15095319299655385,0.09707860168377308,0.6696748238360116,0.819911935163816
MGN_10,-0.014345461017426077,0.07203091951580023,-0.16010316978051514,0.131412247745663,0.8467154045992735,0.8467154045992735
CM_11,0.07263437249551354,0.06936056916125644,-0.0560848772410399,0.201353622232067,0.26803447541162856,0.6026531794804464
MD_Pf_12,0.09240078271664921,0.1052545826253315,-0.12403914479284735,0.3088407102261458,0.40191570435845636,0.6698595072640939
VA_4,0.09535999281988912,0.06438338135583821,-0.037398887113046134,0.2281188727528244,0.15874759994054005,0.5291586664684669
