,coef,stderr,llci,ulci,pvals,p_fdr
VLP_6,-0.2751432104922179,0.04988106721911957,-0.37153605888817237,-0.17875036209626344,3.554298951026013e-08,8.885747377565031e-08
Pul_8,-0.26448505868808053,0.043973434942855716,-0.3528353855169556,-0.17613473185920547,7.884105724625796e-09,6.904379109576564e-08
VPL_7,-0.2633605818857757,0.045892674457629,-0.35548978949199384,-0.1712313742795576,3.399100927914308e-08,8.885747377565031e-08
AV_2,-0.25244823699013125,0.05002778833526387,-0.3459641800359439,-0.15893229394431857,1.7720230154306113e-07,3.4396960112455573e-07
LGN_9,-0.2486747952046527,0.04021233616122602,-0.3331887425363497,-0.16416084787295565,1.3808758219153128e-08,6.904379109576564e-08
MD_Pf_12,-0.238181472441208,0.043913538468392736,-0.32690791892812654,-0.14945502595428942,2.0638176067473343e-07,3.4396960112455573e-07
MGN_10,-0.2327134131670716,0.0453023785137443,-0.3282040738302389,-0.13722275250390426,2.277098702852639e-06,3.2529981469323413e-06
VLa_5,-0.20148041414847995,0.05268629734453117,-0.3059251230896749,-0.09703570520728497,0.0001704891598993652,0.0002131114498742065
CM_11,-0.16414103036897046,0.050984959868625765,-0.2609727937949213,-0.06730926694301965,0.0009357535824233413,0.0010397262026926016
VA_4,-0.14932997499798312,0.05356163277679274,-0.255283200501769,-0.0433767494941972,0.005841277269167627,0.005841277269167627
