index,struct_name,left_exposure,right_exposure
2,AV_2,3.299627,3.378767
4,VA_4,6.527877,6.337627
5,VLa_5,12.041368,12.538597
6,VLP_6,9.058701,9.255482
7,VPL_7,10.57463,10.435808
8,Pul_8,5.716574,5.78697
9,LGN_9,3.862154,3.996673
10,MGN_10,3.565574,3.827149
11,CM_11,7.298371,7.348062
12,MD_Pf_12,4.582101,4.688341
13,Hb_13,1.416722,1.484934
14,MTT_14,4.010136,3.821538
26,Acc_26,5.814317,5.599899
27,Cau_27,3.636486,3.72604
28,Cla_28,6.503091,6.818433
29,GPe_29,10.397027,10.317464
30,GPi_30,9.868887,9.740406
31,Put_31,9.447976,9.368129
32,RN_32,5.43949,5.372026
