index,struct_name,left_exposure,right_exposure
1,THALAMUS_1,8.806262,8.704168
10,MGN_10,18.464146,18.2119485
11,CM_11,16.2472715,16.2290265
12,MD_Pf_12,13.974979,13.8261645
13,Hb_13,18.3873515,18.3691945
14,MTT_14,23.7125205,24.218218
2,AV_2,14.4484555,14.016889
26,Acc_26,34.5486835,34.088485500000004
27,Cau_27,11.7612725,11.646138
28,Cla_28,30.559988,30.622159500000002
29,GPe_29,24.292331,24.289592
30,GPi_30,25.1777435,24.880371
31,Put_31,23.4650765,23.504103
32,RN_32,26.306808500000002,26.402251
33,GP_33,24.158752,24.1107285
34,Amy_34,42.175585999999996,42.484964
4,VA_4,18.8824165,18.7584615
4567,VL_4567,12.288518,11.845637
5,VLa_5,20.569066499999998,20.376175
6,VLP_6,14.203436,13.7676305
7,VPL_7,12.898619,12.225315
8,Pul_8,8.52076,8.549097
9,LGN_9,18.800498,18.201033000000002
