index,struct_name,left_exposure,right_exposure
2,AV_2,17.202157,17.147577
4,VA_4,17.05019,15.971278
5,VLa_5,15.806201,15.027251
6,VLP_6,16.286296,16.610328
7,VPL_7,11.181511,11.461234
8,Pul_8,6.242169,6.397038
9,LGN_9,3.862154,3.996673
10,MGN_10,3.590884,3.861108
11,CM_11,11.482737,11.647964
12,MD_Pf_12,12.284054,12.87068
13,Hb_13,7.533105,7.776326
14,MTT_14,9.359381,8.77384
26,Acc_26,6.668944,6.689324
27,Cau_27,14.116962,9.176556
28,Cla_28,6.503091,6.818433
29,GPe_29,11.994026,11.853132
30,GPi_30,9.991432,9.862176
31,Put_31,9.584415,9.529228
32,RN_32,6.627609,6.540946
