index,struct_name,left_exposure,right_exposure
2,AV_2,4.260592,4.332432
4,VA_4,7.7401,7.68319
5,VLa_5,12.253052,12.822519
6,VLP_6,11.077266,11.25139
7,VPL_7,10.825285,10.902492
8,Pul_8,5.965401,6.045368
9,LGN_9,3.862154,3.996673
10,MGN_10,3.565574,3.827149
11,CM_11,7.298371,7.348062
12,MD_Pf_12,4.583073,4.688341
13,Hb_13,1.416722,1.484934
14,MTT_14,4.010136,3.821538
26,Acc_26,6.668944,6.689324
27,Cau_27,13.540658,9.072213
28,Cla_28,6.503091,6.818433
29,GPe_29,11.764371,11.759284
30,GPi_30,9.965363,9.861861
31,Put_31,9.584415,9.529228
32,RN_32,5.43949,5.372026
