2024-11-08 16:52:18.755 | INFO     | monai_training.preprocess:prepare_labels:167 - Prepare Labels
2024-11-08 16:52:18.755 | INFO     | monai_training.preprocess:prepare_labels:167 - Prepare Labels
2024-11-08 16:52:18.756 | DEBUG    | monai_training.preprocess:prepare_labels:178 - choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.756 | DEBUG    | monai_training.preprocess:prepare_labels:178 - choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.759 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.759 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.759 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1001, sesid=20170215)
2024-11-08 16:52:18.759 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1001, sesid=20170215)
2024-11-08 16:52:18.765 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.765 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.766 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.766 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.766 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.766 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.767 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.767 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.767 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.767 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.767 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1001, sesid=20170215)
2024-11-08 16:52:18.767 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1001, sesid=20170215)
2024-11-08 16:52:18.772 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.772 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.772 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1002, sesid=20200521)
2024-11-08 16:52:18.772 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1002, sesid=20200521)
2024-11-08 16:52:18.777 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.777 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.778 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.778 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.778 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
